GENE.SET	NR.GENES	NR.SIG.GENES	P.VALUE
ANIMAL ORGAN MORPHOGENESIS%GOBP%GO:0009887	340	171	0.00218
COLLAGEN DEGRADATION%REACTOME%R-HSA-1442490.3	30	21	0.0022
REGULATION OF DEFENSE RESPONSE%GOBP%GO:0031347	425	210	0.00226
MESODERM MORPHOGENESIS%GOBP%GO:0048332	23	17	0.00233
PLATELET ACTIVATION, SIGNALING AND AGGREGATION%REACTOME%R-HSA-76002.2	214	112	0.00235
REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION%GOBP%GO:0032680	66	40	0.00235
SYNTHESIS OF DNA%REACTOME%R-HSA-69239.2	110	62	0.00238
POSITIVE REGULATION OF EPITHELIAL CELL MIGRATION%GOBP%GO:0010634	108	61	0.00241
MESODERMAL CELL DIFFERENTIATION%GOBP%GO:0048333	13	11	0.00242
IMMUNE RESPONSE-REGULATING SIGNALING PATHWAY%GOBP%GO:0002764	289	147	0.00248
BINDING AND UPTAKE OF LIGANDS BY SCAVENGER RECEPTORS%REACTOME%R-HSA-2173782.1	32	22	0.00249
DNA STRAND ELONGATION%REACTOME%R-HSA-69190.2	32	22	0.00249
DEFECTIVE B3GALTL CAUSES PETERS-PLUS SYNDROME (PPS)%REACTOME%R-HSA-5083635.1	32	22	0.00249
PLACENTA DEVELOPMENT%GOBP%GO:0001890	32	22	0.00249
NEGATIVE REGULATION OF CELL PROLIFERATION%GOBP%GO:0008285	380	189	0.00253
LYMPHOCYTE DIFFERENTIATION%GOBP%GO:0030098	94	54	0.00253
BASEMENT MEMBRANE ORGANIZATION%GOBP%GO:0071711	7	7	0.00253
EPITHELIAL TO MESENCHYMAL TRANSITION INVOLVED IN ENDOCARDIAL CUSHION FORMATION%GOBP%GO:0003198	7	7	0.00253
DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME%R-HSA-1474228.4	84	49	0.00254
NEGATIVE REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002695	82	48	0.00254
REGULATION OF ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002819	86	50	0.00255
POSITIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903039	135	74	0.00266
ENERGY DERIVATION BY OXIDATION OF ORGANIC COMPOUNDS%GOBP%GO:0015980	133	73	0.00271
METANEPHROS DEVELOPMENT%GOBP%GO:0001656	34	23	0.00276
ARTERY MORPHOGENESIS%GOBP%GO:0048844	34	23	0.00276
POSITIVE REGULATION OF OSTEOBLAST DIFFERENTIATION%GOBP%GO:0045669	34	23	0.00276
RESOLUTION OF AP SITES VIA THE MULTIPLE-NUCLEOTIDE PATCH REPLACEMENT PATHWAY%REACTOME DATABASE ID RELEASE 65%110373	25	18	0.0028
NEGATIVE REGULATION OF MYELOID LEUKOCYTE DIFFERENTIATION%GOBP%GO:0002762	25	18	0.0028
DERMATAN SULFATE BIOSYNTHESIS%REACTOME%R-HSA-2022923.1	10	9	0.00283
REGULATION OF GRANULOCYTE DIFFERENTIATION%GOBP%GO:0030852	10	9	0.00283
HALLMARK_COMPLEMENT%MSIGDB_C2%HALLMARK_COMPLEMENT	177	94	0.00288
REGULATION OF ENDOTHELIAL CELL MIGRATION%GOBP%GO:0010594	123	68	0.00293
HEART MORPHOGENESIS%GOBP%GO:0003007	121	67	0.00297
POSITIVE REGULATION OF LYMPHOCYTE DIFFERENTIATION%GOBP%GO:0045621	53	33	0.00299
PID_AMB2_NEUTROPHILS_PATHWAY%MSIGDB_C2%PID_AMB2_NEUTROPHILS_PATHWAY	36	24	0.00302
CILIUM ORGANIZATION%GOBP%GO:0044782	256	131	0.00314
AMB2 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AMB2 INTEGRIN SIGNALING	27	19	0.00325
POSITIVE REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:0048661	38	25	0.00326
REGULATION OF OSTEOBLAST DIFFERENTIATION%GOBP%GO:0045667	61	37	0.00331
POSITIVE REGULATION OF HEMOPOIESIS%GOBP%GO:1903708	103	58	0.00333
AXONEMAL DYNEIN COMPLEX ASSEMBLY%GOBP%GO:0070286	20	15	0.00337
DNA STRAND ELONGATION INVOLVED IN DNA REPLICATION%GOBP%GO:0006271	20	15	0.00337
REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:0048660	65	39	0.00341
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 65%72689	97	55	0.00343
PLATELET ACTIVATION%GOBP%GO:0030168	97	55	0.00343
NEGATIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903038	67	40	0.00346
NON-INTEGRIN MEMBRANE-ECM INTERACTIONS%REACTOME DATABASE ID RELEASE 65%3000171	40	26	0.00349
REGULATION OF EPITHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:1904035	40	26	0.00349
NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051250	73	43	0.00354
ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME%R-HSA-1236975.1	85	49	0.00355
POSITIVE REGULATION OF COAGULATION%GOBP%GO:0050820	15	12	0.00363
POSITIVE REGULATION OF BLOOD COAGULATION%GOBP%GO:0030194	15	12	0.00363
POSITIVE REGULATION OF HEMOSTASIS%GOBP%GO:1900048	15	12	0.00363
REGULATION OF CELL-SUBSTRATE JUNCTION ASSEMBLY%GOBP%GO:0090109	42	27	0.00369
REGULATION OF FOCAL ADHESION ASSEMBLY%GOBP%GO:0051893	42	27	0.00369
PID_IL12_STAT4_PATHWAY%MSIGDB_C2%PID_IL12_STAT4_PATHWAY	29	20	0.00369
NEGATIVE REGULATION OF COAGULATION%GOBP%GO:0050819	29	20	0.00369
POSITIVE REGULATION OF SPROUTING ANGIOGENESIS%GOBP%GO:1903672	29	20	0.00369
RESPONSE TO HYDROGEN PEROXIDE%GOBP%GO:0042542	44	28	0.00388
POSITIVE REGULATION OF T CELL DIFFERENTIATION%GOBP%GO:0045582	46	29	0.00406
CELLULAR RESPONSE TO VASCULAR ENDOTHELIAL GROWTH FACTOR STIMULUS%GOBP%GO:0035924	31	21	0.0041
ACTIVATION OF PHOSPHOLIPASE C ACTIVITY%GOBP%GO:0007202	22	16	0.00411
POSITIVE REGULATION OF PHOSPHOLIPID METABOLIC PROCESS%GOBP%GO:1903727	33	22	0.00448
SPLICEOSOMAL SNRNP ASSEMBLY%GOBP%GO:0000387	33	22	0.00448
ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599	100	56	0.00456
POSITIVE REGULATION OF CELL ACTIVATION%GOBP%GO:0050867	194	101	0.00458
NEGATIVE REGULATION OF MAP KINASE ACTIVITY%GOBP%GO:0043407	56	34	0.00467
BIOLOGICAL ADHESION%GOBP%GO:0022610	470	228	0.0047
CILIUM ASSEMBLY%GOBP%GO:0060271	252	128	0.00482
PID_ALK1_PATHWAY%MSIGDB_C2%PID_ALK1_PATHWAY	24	17	0.00482
ALK1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALK1 SIGNALING EVENTS	24	17	0.00482
PREFOLDIN MEDIATED TRANSFER OF SUBSTRATE TO CCT TRIC%REACTOME DATABASE ID RELEASE 65%389957	24	17	0.00482
TELOMERE C-STRAND (LAGGING STRAND) SYNTHESIS%REACTOME DATABASE ID RELEASE 65%174417	24	17	0.00482
CRISTAE FORMATION%GOBP%GO:0042407	24	17	0.00482
POSITIVE REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE ACTIVITY%GOBP%GO:0043552	24	17	0.00482
LYMPHOCYTE PROLIFERATION%GOBP%GO:0046651	24	17	0.00482
B CELL MEDIATED IMMUNITY%GOBP%GO:0019724	24	17	0.00482
PID_FRA_PATHWAY%MSIGDB_C2%PID_FRA_PATHWAY	35	23	0.00483
VALIDATED TRANSCRIPTIONAL TARGETS OF AP1 FAMILY MEMBERS FRA1 AND FRA2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED TRANSCRIPTIONAL TARGETS OF AP1 FAMILY MEMBERS FRA1 AND FRA2	35	23	0.00483
REGULATION OF INTERLEUKIN-2 PRODUCTION%GOBP%GO:0032663	35	23	0.00483
TISSUE MORPHOGENESIS%GOBP%GO:0048729	222	114	0.00485
POSITIVE REGULATION OF CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS%GOBP%GO:0090050	17	13	0.00485
PLATELET-DERIVED GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0048008	17	13	0.00485
NEGATIVE REGULATION OF INTERLEUKIN-10 PRODUCTION%GOBP%GO:0032693	12	10	0.00486
INNER DYNEIN ARM ASSEMBLY%GOBP%GO:0036159	12	10	0.00486
REACTIVE OXYGEN SPECIES METABOLIC PROCESS%GOBP%GO:0072593	62	37	0.00487
HUMORAL IMMUNE RESPONSE%GOBP%GO:0006959	86	49	0.00488
POSITIVE REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002696	188	98	0.00493
HALLMARK_IL6_JAK_STAT3_SIGNALING%MSIGDB_C2%HALLMARK_IL6_JAK_STAT3_SIGNALING	82	47	0.00494
MYELOID LEUKOCYTE ACTIVATION%GOBP%GO:0002274	455	221	0.00496
B CELL ACTIVATION%GOBP%GO:0042113	68	40	0.00498
CELL-MATRIX ADHESION%GOBP%GO:0007160	76	44	0.005
CELLULAR RESPONSE TO MOLECULE OF BACTERIAL ORIGIN%GOBP%GO:0071219	76	44	0.005
G-PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007186	407	199	0.00522
REGULATION OF CELL-SUBSTRATE ADHESION%GOBP%GO:0010810	115	63	0.0054
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDB_C2%HALLMARK_OXIDATIVE_PHOSPHORYLATION	197	102	0.00544
IL12 SIGNALING MEDIATED BY STAT4%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL12 SIGNALING MEDIATED BY STAT4	26	18	0.00548
REGULATION OF SYNAPSE ASSEMBLY%GOBP%GO:0051963	26	18	0.00548
NEGATIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION%GOBP%GO:0001937	26	18	0.00548
DEFENSE RESPONSE TO GRAM-NEGATIVE BACTERIUM%GOBP%GO:0050829	26	18	0.00548
IMMUNE RESPONSE-ACTIVATING SIGNAL TRANSDUCTION%GOBP%GO:0002757	268	135	0.00561
CIRCULATORY SYSTEM PROCESS%GOBP%GO:0003013	193	100	0.00572
FGFR2B LIGAND BINDING AND ACTIVATION%REACTOME%R-HSA-190377.2	6	6	0.00595
DEFECTIVE CHST14 CAUSES EDS, MUSCULOCONTRACTURAL TYPE%REACTOME DATABASE ID RELEASE 65%3595174	6	6	0.00595
DEFECTIVE CHST3 CAUSES SEDCJD%REACTOME DATABASE ID RELEASE 65%3595172	6	6	0.00595
DEFECTIVE CHSY1 CAUSES TPBS%REACTOME DATABASE ID RELEASE 65%3595177	6	6	0.00595
METANEPHRIC GLOMERULUS VASCULATURE DEVELOPMENT%GOBP%GO:0072239	6	6	0.00595
G-PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY INVOLVED IN HEART PROCESS%GOBP%GO:0086103	6	6	0.00595
REGULATION OF T-HELPER 1 CELL DIFFERENTIATION%GOBP%GO:0045625	6	6	0.00595
REGULATION OF RELAXATION OF MUSCLE%GOBP%GO:1901077	6	6	0.00595
NEGATIVE REGULATION OF RECEPTOR BIOSYNTHETIC PROCESS%GOBP%GO:0010871	6	6	0.00595
GLOMERULUS MORPHOGENESIS%GOBP%GO:0072102	6	6	0.00595
POSITIVE REGULATION OF T-HELPER 2 CELL DIFFERENTIATION%GOBP%GO:0045630	6	6	0.00595
METANEPHRIC GLOMERULUS DEVELOPMENT%GOBP%GO:0072224	6	6	0.00595
COMPLEMENT RECEPTOR MEDIATED SIGNALING PATHWAY%GOBP%GO:0002430	6	6	0.00595
BLOOD VESSEL ENDOTHELIAL CELL DIFFERENTIATION%GOBP%GO:0060837	6	6	0.00595
BIOCARTA_TCAPOPTOSIS_PATHWAY%MSIGDB_C2%BIOCARTA_TCAPOPTOSIS_PATHWAY	9	8	0.00603
CROSSLINKING OF COLLAGEN FIBRILS%REACTOME%R-HSA-2243919.2	9	8	0.00603
POSITIVE REGULATION OF SMOOTH MUSCLE CONTRACTION%GOBP%GO:0045987	9	8	0.00603
REGULATION OF CILIUM MOVEMENT%GOBP%GO:0003352	9	8	0.00603
MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0060537	101	56	0.00604
CARDIAC EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0060317	19	14	0.00604
REGULATION OF SMOOTH MUSCLE CONTRACTION%GOBP%GO:0006940	19	14	0.00604
POSITIVE REGULATION OF T CELL ACTIVATION%GOBP%GO:0050870	130	70	0.00606
NEGATIVE REGULATION OF BLOOD COAGULATION%GOBP%GO:0030195	28	19	0.0061
POSITIVE REGULATION OF ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0046638	28	19	0.0061
VASCULOGENESIS%GOBP%GO:0001570	28	19	0.0061
NEGATIVE REGULATION OF HEMOSTASIS%GOBP%GO:1900047	28	19	0.0061
NEGATIVE REGULATION OF RESPONSE TO WOUNDING%GOBP%GO:1903035	45	28	0.00614
PLASMA MEMBRANE BOUNDED CELL PROJECTION ASSEMBLY%GOBP%GO:0120031	312	155	0.00618
MYELOID CELL DIFFERENTIATION%GOBP%GO:0030099	97	54	0.00622
CHONDROITIN SULFATE DERMATAN SULFATE METABOLISM%REACTOME%R-HSA-1793185.1	47	29	0.00632
LYMPHOCYTE ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002285	47	29	0.00632
SIGNALING BY ROBO RECEPTORS%REACTOME%R-HSA-376176.4	200	103	0.00642
POSITIVE REGULATION OF LIPASE ACTIVITY%GOBP%GO:0060193	51	31	0.00661
NEGATIVE REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050728	51	31	0.00661
CELL ADHESION%GOBP%GO:0007155	464	224	0.00666
MITOCHONDRIAL RNA METABOLIC PROCESS%GOBP%GO:0000959	30	20	0.00666
LEUKOCYTE PROLIFERATION%GOBP%GO:0070661	30	20	0.00666
RESPONSE TO EXTERNAL BIOTIC STIMULUS%GOBP%GO:0043207	365	179	0.00671
RESPONSE TO OTHER ORGANISM%GOBP%GO:0051707	365	179	0.00671
DNA REPLICATION%GOBP%GO:0006260	143	76	0.00672
REGULATION OF T CELL PROLIFERATION%GOBP%GO:0042129	81	46	0.00681
HALLMARK_DNA_REPAIR%MSIGDB_C2%HALLMARK_DNA_REPAIR	141	75	0.00687
REGULATION OF ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002822	77	44	0.00691
DERMATAN SULFATE PROTEOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0050651	14	11	0.00692
REGULATION OF TYPE 2 IMMUNE RESPONSE%GOBP%GO:0002828	14	11	0.00692
MITOCHONDRIAL RNA PROCESSING%GOBP%GO:0000963	14	11	0.00692
POSITIVE REGULATION OF MEMBRANE PROTEIN ECTODOMAIN PROTEOLYSIS%GOBP%GO:0051044	14	11	0.00692
NEGATIVE REGULATION OF OSTEOCLAST DIFFERENTIATION%GOBP%GO:0045671	14	11	0.00692
PID_AP1_PATHWAY%MSIGDB_C2%PID_AP1_PATHWAY	59	35	0.00695
AP-1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AP-1 TRANSCRIPTION FACTOR NETWORK	59	35	0.00695
CELL PROJECTION ASSEMBLY%GOBP%GO:0030031	315	156	0.00698
NEPHRON DEVELOPMENT%GOBP%GO:0072006	61	36	0.00699
HALLMARK_ESTROGEN_RESPONSE_LATE%MSIGDB_C2%HALLMARK_ESTROGEN_RESPONSE_LATE	192	99	0.00711
PCNA-DEPENDENT LONG PATCH BASE EXCISION REPAIR%REACTOME DATABASE ID RELEASE 65%5651801	21	15	0.00716
POSITIVE REGULATION OF CELL JUNCTION ASSEMBLY%GOBP%GO:1901890	21	15	0.00716
SUPEROXIDE METABOLIC PROCESS%GOBP%GO:0006801	21	15	0.00716
POSITIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0043372	21	15	0.00716
COLLAGEN CATABOLIC PROCESS%GOBP%GO:0030574	21	15	0.00716
TERMINATION OF TRANSLESION DNA SYNTHESIS%REACTOME%R-HSA-5656169.1	32	21	0.00717
REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE ACTIVITY%GOBP%GO:0043551	32	21	0.00717
G1 S TRANSITION%REACTOME%R-HSA-69206.2	112	61	0.00724
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME%R-HSA-1799339.1	108	59	0.00751
EMBRYO DEVELOPMENT ENDING IN BIRTH OR EGG HATCHING%GOBP%GO:0009792	152	80	0.00762
GLOMERULUS DEVELOPMENT%GOBP%GO:0032835	34	22	0.00763
NEGATIVE REGULATION OF CYTOKINE SECRETION%GOBP%GO:0050710	34	22	0.00763
OSSIFICATION%GOBP%GO:0001503	106	58	0.00764
MUSCLE STRUCTURE DEVELOPMENT%GOBP%GO:0061061	186	96	0.00767
REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001817	388	189	0.00771
RESOLUTION OF ABASIC SITES (AP SITES)%REACTOME%R-HSA-73933.1	36	23	0.00803
BASE EXCISION REPAIR%REACTOME DATABASE ID RELEASE 65%73884	36	23	0.00803
REGULATION OF CYTOKINE SECRETION%GOBP%GO:0050707	98	54	0.00819
PID_INTEGRIN2_PATHWAY%MSIGDB_C2%PID_INTEGRIN2_PATHWAY	23	16	0.00819
BETA2 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA2 INTEGRIN CELL SURFACE INTERACTIONS	23	16	0.00819
CHONDROITIN SULFATE PROTEOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0050650	23	16	0.00819
IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE%GOBP%GO:0016064	23	16	0.00819
PYRIMIDINE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0072529	23	16	0.00819
AMINO ACID AND DERIVATIVE METABOLISM%REACTOME%R-HSA-71291.4	314	155	0.00828
MICROTUBULE-BASED MOVEMENT%GOBP%GO:0007018	180	93	0.00828
POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0050731	96	53	0.00832
PLASMA MEMBRANE ORGANIZATION%GOBP%GO:0007009	38	24	0.00839
NEGATIVE REGULATION OF WOUND HEALING%GOBP%GO:0061045	38	24	0.00839
POSITIVE REGULATION OF ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046635	38	24	0.00839
REGULATION OF MAPK CASCADE%GOBP%GO:0043408	475	228	0.00857
MUSCLE CELL DIFFERENTIATION%GOBP%GO:0042692	92	51	0.00858
REGULATION OF HUMORAL IMMUNE RESPONSE%GOBP%GO:0002920	40	25	0.0087
BIOCARTA_STATHMIN_PATHWAY%MSIGDB_C2%BIOCARTA_STATHMIN_PATHWAY	16	12	0.00888
FORMATION OF ATP BY CHEMIOSMOTIC COUPLING%REACTOME DATABASE ID RELEASE 65%163210	16	12	0.00888
SCAVENGING BY CLASS A RECEPTORS%REACTOME DATABASE ID RELEASE 65%3000480	16	12	0.00888
HEMATOPOIETIC PROGENITOR CELL DIFFERENTIATION%GOBP%GO:0002244	16	12	0.00888
HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743	16	12	0.00888
POSITIVE REGULATION OF INTERLEUKIN-4 PRODUCTION%GOBP%GO:0032753	16	12	0.00888
MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032943	25	17	0.00912
REGULATION OF T-HELPER CELL DIFFERENTIATION%GOBP%GO:0045622	25	17	0.00912
DNA STRAND ELONGATION%GOBP%GO:0022616	25	17	0.00912
POSITIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION%GOBP%GO:2000516	25	17	0.00912
REGULATION OF BONE MINERALIZATION%GOBP%GO:0030500	46	28	0.00939
POSITIVE REGULATION OF LEUKOCYTE DIFFERENTIATION%GOBP%GO:1902107	78	44	0.00941
ACTIVATION OF IMMUNE RESPONSE%GOBP%GO:0002253	304	150	0.00945
SIGNALING BY PDGF%REACTOME%R-HSA-186797.3	48	29	0.00955
RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GOBP%GO:0022613	326	160	0.00962
BIOCARTA_IL17_PATHWAY%MSIGDB_C2%BIOCARTA_IL17_PATHWAY	11	9	0.00964
TRNA 5'-END PROCESSING%GOBP%GO:0099116	11	9	0.00964
DERMATAN SULFATE BIOSYNTHETIC PROCESS%GOBP%GO:0030208	11	9	0.00964
OUTER DYNEIN ARM ASSEMBLY%GOBP%GO:0036158	11	9	0.00964
EPITHELIAL CILIUM MOVEMENT%GOBP%GO:0003351	11	9	0.00964
NEGATIVE REGULATION OF INTERLEUKIN-12 PRODUCTION%GOBP%GO:0032695	11	9	0.00964
HYDROGEN PEROXIDE CATABOLIC PROCESS%GOBP%GO:0042744	11	9	0.00964
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 65%975957	109	59	0.00967
NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2	109	59	0.00967
RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-6790901.4	54	32	0.00985
BONE DEVELOPMENT%GOBP%GO:0060348	54	32	0.00985
NEGATIVE REGULATION OF EPITHELIAL CELL PROLIFERATION%GOBP%GO:0050680	66	38	0.00986
CONNECTIVE TISSUE DEVELOPMENT%GOBP%GO:0061448	64	37	0.0099
NEGATIVE REGULATION OF T CELL ACTIVATION%GOBP%GO:0050868	60	35	0.00993
COOPERATION OF PREFOLDIN AND TRIC CCT IN ACTIN AND TUBULIN FOLDING%REACTOME%R-HSA-389958.2	27	18	0.00995
NEGATIVE REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:0048662	27	18	0.00995
CHONDROITIN SULFATE METABOLIC PROCESS%GOBP%GO:0030204	27	18	0.00995
MYELOID CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002275	430	207	0.0102
CELL-SUBSTRATE ADHESION%GOBP%GO:0031589	103	56	0.0103
NABA_SECRETED_FACTORS%MSIGDB_C2%NABA_SECRETED_FACTORS	205	104	0.0107
CHONDROITIN SULFATE PROTEOGLYCAN METABOLIC PROCESS%GOBP%GO:0050654	29	19	0.0107
DEFENSE RESPONSE TO GRAM-POSITIVE BACTERIUM%GOBP%GO:0050830	29	19	0.0107
NEURON RECOGNITION%GOBP%GO:0008038	18	13	0.0107
POSITIVE REGULATION OF VASCULAR SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:1904707	18	13	0.0107
REGULATION OF VASCULAR PERMEABILITY%GOBP%GO:0043114	18	13	0.0107
RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0009607	382	185	0.011
BLOOD CIRCULATION%GOBP%GO:0008015	188	96	0.0111
NEGATIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOBP%GO:0071901	95	52	0.0111
NEGATIVE REGULATION OF SECRETION%GOBP%GO:0051048	95	52	0.0111
POSITIVE REGULATION OF CYTOKINE BIOSYNTHETIC PROCESS%GOBP%GO:0042108	31	20	0.0113
DETERMINATION OF HEART LEFT/RIGHT ASYMMETRY%GOBP%GO:0061371	31	20	0.0113
REGULATION OF IGF ACTIVITY BY IGFBP%REACTOME%R-HSA-381426.2	89	49	0.0116
PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0070972	114	61	0.0118
NEGATIVE REGULATION OF WNT SIGNALING PATHWAY%GOBP%GO:0030178	114	61	0.0118
G ALPHA (S) SIGNALLING EVENTS%REACTOME%R-HSA-418555.6	85	47	0.012
NEGATIVE REGULATION OF MAPK CASCADE%GOBP%GO:0043409	112	60	0.0121
T CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050852	83	46	0.0122
ERK1 ERK2 PATHWAY%REACTOME DATABASE ID RELEASE 65%5684996	195	99	0.0123
POSITIVE REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051251	165	85	0.0123
BIOCARTA_NKT_PATHWAY%MSIGDB_C2%BIOCARTA_NKT_PATHWAY	20	14	0.0123
REGULATION OF REGULATORY T CELL DIFFERENTIATION%GOBP%GO:0045589	20	14	0.0123
NEGATIVE REGULATION OF ENDOTHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:2000352	20	14	0.0123
NEGATIVE REGULATION OF IMMUNE SYSTEM PROCESS%GOBP%GO:0002683	234	117	0.0125
TELOMERE C-STRAND SYNTHESIS INITIATION%REACTOME%R-HSA-174430.2	8	7	0.0127
FGFR2 LIGAND BINDING AND ACTIVATION%REACTOME%R-HSA-190241.1	8	7	0.0127
DNA REPLICATION INITIATION%REACTOME%R-HSA-68952.2	8	7	0.0127
CELL MIGRATION INVOLVED IN HEART DEVELOPMENT%GOBP%GO:0060973	8	7	0.0127
VENOUS BLOOD VESSEL DEVELOPMENT%GOBP%GO:0060841	8	7	0.0127
MICROGLIAL CELL ACTIVATION%GOBP%GO:0001774	8	7	0.0127
SPHINGOMYELIN METABOLIC PROCESS%GOBP%GO:0006684	8	7	0.0127
SUPEROXIDE ANION GENERATION%GOBP%GO:0042554	8	7	0.0127
NEGATIVE REGULATION OF FIBROBLAST GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0040037	8	7	0.0127
REGULATION OF CELL PROLIFERATION INVOLVED IN HEART MORPHOGENESIS%GOBP%GO:2000136	8	7	0.0127
MOTILE CILIUM ASSEMBLY%GOBP%GO:0044458	8	7	0.0127
NEGATIVE REGULATION OF VOLTAGE-GATED POTASSIUM CHANNEL ACTIVITY%GOBP%GO:1903817	8	7	0.0127
BIOCARTA_CTL_PATHWAY%MSIGDB_C2%BIOCARTA_CTL_PATHWAY	13	10	0.013
CS DS DEGRADATION%REACTOME DATABASE ID RELEASE 65%2024101	13	10	0.013
REGULATION OF PLATELET AGGREGATION%GOBP%GO:0090330	13	10	0.013
REGULATION OF MITOTIC SPINDLE CHECKPOINT%GOBP%GO:1903504	13	10	0.013
REGULATION OF ANIMAL ORGAN FORMATION%GOBP%GO:0003156	13	10	0.013
REGULATION OF MITOTIC CELL CYCLE SPINDLE ASSEMBLY CHECKPOINT%GOBP%GO:0090266	13	10	0.013
NEGATIVE REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0007026	13	10	0.013
PYRIMIDINE NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0006244	13	10	0.013
REGULATION OF SPINDLE CHECKPOINT%GOBP%GO:0090231	13	10	0.013
NEGATIVE REGULATION OF CARTILAGE DEVELOPMENT%GOBP%GO:0061037	13	10	0.013
CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS%GOBP%GO:0002042	13	10	0.013
INTERLEUKIN-10 SIGNALING%REACTOME%R-HSA-6783783.3	39	24	0.0131
ENDODERM FORMATION%GOBP%GO:0001706	39	24	0.0131
CELLULAR DEFENSE RESPONSE%GOBP%GO:0006968	39	24	0.0131
